Stock Name,Ticker,12 Month Sales Growth,5 Year Sales Growth,12 Month EPS Growth,5 Year EPS Growth,Last Quarter EPS Surprise %,Estimated EPS Growth Next Year
Phoenix New Media,FENG,-13.14%,-54.64%,,-160.00%,0.00%,
"MARKER THERAPEUTICS, INC",MRKR,-3.80%,,,,0.00%,0.00%
Estrella Immunopharma,ESLA,,,,,0.00%,
Rapid Micro Biosystems,RPID,29.53%,,,,-6.90%,-8.26%
Mountain Crest Acquisition V,MCAG,,,,,0.00%,
Plutonian Acquisition,PLTN,,,,,0.00%,
Brainstorm Cell Therapeutics,BCLI,,,,,28.57%,-14.29%
Atlantic American,AAME,10.12%,-0.51%,,-46.67%,0.00%,
Wireless Ronin Technologies,CREX,-15.75%,28.13%,-211.76%,,88.89%,128.57%
Senstar Technologies,SNT,9.99%,-56.95%,,1300.00%,0.00%,
Fuel Tech,FTEK,-14.29%,-53.92%,,,200.00%,150.00%
Nutex Health,NUTX,1.50%,,,,0.00%,
Exagen,XGN,85.81%,,,,52.50%,-17.07%
MMTec,MTC,,,,,0.00%,
Broad Capital Acquisition,BRAC,,,,,0.00%,
Achari Ventures Holdings I,AVHI,,,,,0.00%,
Container Store,TCS,-15.00%,11.58%,-928.26%,,50.00%,28.57%
RF Industries,RFIL,3.67%,8.67%,20.00%,-82.35%,11.11%,-108.33%
MiNK Therapeutics,INKT,,,,,31.25%,-7.32%
Paltalk,PALT,12.12%,-49.23%,,,0.00%,
Origin Agritech,SEED,,,,,0.00%,
PB Bankshares,PBBK,60.91%,,64.29%,,0.00%,
Owlet,OWLT,-28.66%,,,,-178.57%,-133.33%
ImmuCell,ICCC,-8.55%,17.28%,,,0.00%,
Redwoods Acquisition,RWOD,,,,,0.00%,
Pluri,PLUR,-52.17%,,,,0.00%,
Akili,AKLI,83.33%,,,,0.00%,-47.17%
Unicycive Therapeutics,UNCY,,,,,-50.00%,-53.66%
The9,NCTY,,,,,0.00%,
SUs,SUGP,,,,,0.00%,
Co-Diagnostics,CODX,-96.02%,1900.00%,,,-47.62%,-13.53%
Anghami,ANGH,,,,,0.00%,
Nortech Systems,NSYS,7.69%,22.70%,-12.00%,57.14%,0.00%,
Mingteng,MTEN,,,,,0.00%,
Global Star Acquisition,GLST,,,,,0.00%,
Kirkland's,KIRK,-6.21%,-31.99%,,,0.00%,
Renalytix AI,RNLX,-11.11%,,,,0.00%,
Vicinity Motor,VEV,-58.94%,,,,0.00%,
Snail,SNAL,-36.03%,,,,-225.00%,-70.83%
Asia Pacific Wire & Cable,APWC,,,,,0.00%,
Orion Energy Systems,OESX,-1.95%,43.63%,,,41.67%,-28.57%
GreenPower Motor,GP,254.99%,,,,-35.71%,-28.57%
Allied Gaming & Entertainment,AGAE,-50.62%,,,,0.00%,
Aspira Women's Health,AWH,20.29%,250.70%,,,-8.33%,-34.62%
Evogene,EVGN,166.67%,72.97%,,,0.00%,
Techprecision,TPCS,-0.66%,60.81%,,,0.00%,
Spruce Biosciences,SPRB,,,,,12.50%,-14.29%
ATA,AACG,-7.37%,-59.87%,,,0.00%,
9F,JFU,,,,,0.00%,
CVD Equipment,CVV,-12.74%,-21.27%,,,0.00%,
MultiSensor AI Holdings,MSAI,,,,,-340.00%,-177.78%
SigmaTron,SGMA,9.74%,58.76%,,,0.00%,
Performance Shipping,PSHG,206.01%,278.10%,,,0.00%,
NetSol Technologies,NTWK,-8.78%,-20.72%,,-8.00%,0.00%,
ImmunoPrecise Antibodies,IPA,0.72%,,,,0.00%,-27.78%
Inspira Technologies OXY B.H.N,IINN,,,,,0.00%,-100.00%
Spectral AI,MDAI,,,-400.00%,,0.00%,
Sonim Technologies,SONM,124.41%,-14.66%,,,-133.33%,-147.62%
BIT Mining,BTCM,-75.44%,1088.74%,,,0.00%,-100.00%
Cheer Holding,CHR,,,633.33%,,0.00%,
Bolt Biotherapeutics,BOLT,2.88%,,,,45.10%,-36.43%
Top Wealth,TWG,,,,,0.00%,
TSR,TSRI,-4.77%,52.32%,1000.00%,214.29%,0.00%,
Surf Air Mobility,SRFM,,,,,-36.84%,-39.18%
Enlivex Therapeutics,ENLV,,,,-104.09%,0.00%,-36.05%
Wilhelmina,WHLM,-4.47%,-78.20%,-100.00%,-100.00%,0.00%,
Phoenix Motor,PEV,165.67%,,,,0.00%,
Davis Commodities,DTCK,,,,,0.00%,
Crown Electrokinetics,CRKN,,,,,0.00%,
Barnwell Industries,BRN,81.78%,91.76%,-100.00%,-100.00%,0.00%,
Arenas,AREN,11.97%,667000.00%,,,0.00%,
U.S Energy,USEG,-40.80%,408.28%,,,0.00%,
SeaStar Medical Holding,ICU,,,,,0.00%,
BioAffinity Technologies,BIAF,,,,,0.00%,
Knightscope,KSCP,208.51%,,,,0.00%,
BioVie,BIVI,,,,,0.00%,-100.00%
RenovoRx,RNXT,,,,,0.00%,
JanOne,JAN,2.60%,,-98.82%,,0.00%,
Viracta Therapeutics,VIRX,,,,,34.29%,-1.65%
Rave Restaurant,RAVE,8.16%,7.77%,-89.47%,-82.61%,0.00%,
Oncternal Therapeutics,ONCT,-42.11%,-92.81%,,,1.74%,-5.38%
Zapata Computing Holdings,ZPTA,,,,,0.00%,
Good Times Restaurants,GTIM,-2.41%,35.64%,75.00%,250.00%,0.00%,
Singular Genomics Systems,OMIC,,,,,0.00%,
BRIACELL THERAP,BCTX,,,,,-255.00%,-28.06%
Sotherly Hotels,SOHO,13.40%,4.19%,,,-4.76%,6.25%
Kentucky First Federal Bancorp,KFFB,33.83%,16.50%,,,0.00%,
Apollomics,APLM,,,,,0.00%,-100.00%
VCI Global,VCIG,,,,,0.00%,
Inspirato,ISPO,0.47%,,,,0.00%,-100.00%
Noco-noco,NCNC,,,,,0.00%,
Meta Materials,MMAT,-38.86%,625.00%,,,0.00%,
Electra Battery Materials,ELBM,,,,,0.00%,
Accelerate Diagnostics,AXDX,-24.35%,72.78%,,,-22.22%,-19.41%
Femasys,FEMY,6.67%,,,,22.73%,-43.06%
Ampco-Pittsburgh,AP,4.51%,-9.43%,-85.71%,,0.00%,
Akso Health Group,AHG,-95.59%,,-138.46%,,0.00%,
Envirotech Vehicles,EVTV,41.06%,,,,0.00%,
UNITY Biotechnology,UBX,,,,,40.35%,4.94%
Guardforce AI,GFAI,,,,,0.00%,
Global Mofy Metaverse,GMM,,,,,0.00%,
Aprea Therapeutics,APRE,,,,,14.10%,-70.04%
Aptorum Group,APM,,,,,0.00%,
Data I/O,DAIO,55.14%,2.78%,,-50.00%,0.00%,66.67%
Greenidge Generation Holdings,GREE,-35.85%,,,,0.00%,43.16%
Acasti Pharma,ACST,,,,,30.00%,-10.42%
TherapeuticsMD,TXMD,25.71%,-88.30%,-101.87%,,0.00%,
NeuroOne Medical Technologies,NMTC,2000.00%,,,,0.00%,
CCSC Technology Holdings,CCTG,,,,,0.00%,
BTCS,BTCS,-23.53%,,,,0.00%,-100.00%
CPS Technologies,CPSH,4.95%,41.87%,33.33%,,0.00%,
Biosig Technologies,BSGM,0.00%,,,,0.00%,
Vince Holding,VNCE,-18.27%,17.52%,,,0.00%,
MEDIROM Healthcare Technologies,MRM,,,,,0.00%,
Barfresh Food Group,BRFH,-46.07%,38.53%,,,40.00%,-100.00%
Urgent.ly,ULY,,,,,0.00%,
Iterum Therapeutics,ITRM,,,,,19.30%,-26.14%
Greenwave Technology Solutions,GWAV,-8.87%,6853.85%,,,0.00%,
CBL,BANL,,,,,0.00%,
Faraday Future Intelligent Electric,FFIE,,,,,0.00%,
Yunhong Green CTI,YHGJ,-12.93%,-63.88%,,,0.00%,
Local Bounti,LOCL,14.51%,,,,-4.71%,-53.97%
Lisata Therapeutics,LSTA,,,,,10.96%,-12.99%
SAB Biotherapeutics,SABS,-95.08%,,-850.00%,,44.90%,9.27%
Streamline Health Solutions,STRM,-10.27%,-14.86%,,,0.00%,
Generation Income Properties,GIPR,13.56%,,,,0.00%,
UTStarcom Holdings Corp,UTSI,9.12%,,-90.91%,,0.00%,
FlexShopper,FPAY,-32.89%,80.50%,-143.14%,,40.00%,-687.50%
Barnes & Noble Education,BNED,7.41%,-32.38%,,-341.67%,0.00%,
United Maritime,USEA,,,,,0.00%,
American Strategic Investment,NYC,-2.77%,,,,-6.84%,-2.11%
CytoMed Therapeutics,GDTC,,,,,0.00%,
CLPS Incorporation,CLPS,,,,,0.00%,
Abits Group,ABTS,133.33%,,-300.00%,,0.00%,
2U,TWOU,-8.02%,127.97%,,,27.03%,-61.29%
Australian Oilseeds Holdings,COOT,,,,,0.00%,
Nephros,NEPH,24.56%,159.12%,,,0.00%,
Biora Therapeutics,BIOR,-100.00%,,,,-35.56%,-24.39%
Cocrystal Pharma,COCP,-90.94%,,,,27.78%,0.99%
BAIYU Holdings,BYU,-35.71%,31272.73%,-200.00%,-100.28%,0.00%,
Bullfrog AI Holdings,BFRG,,,,,0.00%,
OncoCyte,OCX,91.67%,,,,0.00%,
ZIVO Bioscience,ZIVO,,,,,0.00%,
Four Seasons Education (Cayman),FEDU,-33.76%,,-400.00%,,0.00%,
Vintage Wine Estates,VWE,-16.37%,,,,0.00%,
AEye,LIDR,-19.72%,,,,0.00%,
Sol-Gel Technologies,SLGL,,,,,-53.33%,-39.76%
AppTech Payments,APCX,8.33%,,,,0.00%,
Generations Bancorp NY,GBNY,24.06%,,-146.67%,,0.00%,
Hitek Global,HKIT,,,,,0.00%,
Aterian,ATER,-39.49%,,,,0.00%,
Optical Cable,OCC,14.07%,-27.04%,,72.22%,0.00%,
Independence Contract Drilling,ICD,33.21%,118.87%,,,31.51%,-33.58%
NextPlat,NXPL,-19.55%,72.46%,,,0.00%,
Maison Solutions,MSS,,,,,0.00%,
CaliberCos,CWD,9.48%,,,,-800.00%,-60.00%
Eco Wave Power Global AB (publ),WAVE,,,,,0.00%,
Forte Biosciences,FBRX,0.00%,,,,0.00%,-6.78%
PolyPid,PYPD,,,,,30.10%,-36.29%
Aeries Technology,AERT,,,-138.46%,,0.00%,
Stran,SWAG,28.71%,,,,0.00%,
Akoustis Technologies,AKTS,60.19%,4527.78%,,,-16.67%,-41.43%
Mawson Infrastructure Group,MIGI,-60.50%,,,,-51.61%,-100.00%
Cumberland Pharmaceuticals,CPIX,5.73%,7.19%,,,0.00%,
American Shared Hospital Services,AMS,17.80%,4.77%,400.00%,150.00%,-33.33%,37.93%
ATI Physical Therapy,ATIP,5.54%,,,,-2.44%,
Ekso Bionics Holdings,EKSO,35.45%,58.25%,,,-25.00%,-55.81%
Wetouch Technology,WETH,,,,,0.00%,
Dolphin Digital Media,DLPN,7.09%,111.11%,,,0.00%,
Primech Holdings,PMEC,,,,,0.00%,
DallasNews,DALN,-4.15%,-29.63%,,,0.00%,
Jaguar Animal Health,JAGX,-8.22%,204.55%,,,0.00%,-22.14%
Smith Micro Software,SMSI,-18.39%,48.78%,,,-42.50%,-87.88%
Pineapple Energy,PEGY,370.14%,-10.10%,-206.67%,,-30.00%,-100.00%
SEALSQ,LAES,,,,,0.00%,
Purple Biotech,PPBT,,,,,-6.67%,-11.54%
Sphere 3D,ANY,184.90%,102.59%,,,39.13%,-100.00%
Indaptus Therapeutics,INDP,,,,,21.05%,-21.31%
ARB IOT Group,ARBB,,,,,0.00%,
Novo Integrated Sciences,NVOS,-76.25%,41.81%,,,0.00%,
Lyra Therapeutics,LYRA,-13.21%,,,,-34.62%,-31.36%
Glimpse,VRAR,16.40%,,,,0.00%,
Globavend Holdings,GVH,,,,,0.00%,
Willamette Valley Vineyards,WVVI,23.33%,84.36%,,-172.73%,0.00%,
Evaxion Biotech,EVAX,,,,,0.00%,-168.42%
Innovative Eyewear,LUCY,-15.00%,,,,0.00%,
NiSun Enterprise Development Group,NISN,,,,,0.00%,
Beasley Broadcast,BBGI,-2.08%,2.97%,,-294.44%,100.00%,150.00%
Greenland Technologies Holding,GTEC,14.42%,,38.46%,,233.33%,-100.00%
MultiMetaVerse Holdings,MMV,,,,,0.00%,
MOGU,MOGU,-40.16%,,,,0.00%,
Lobo EV Technologies,LOBO,,,,,0.00%,52.94%
Agape ATP,ATPC,-25.00%,,,,0.00%,
Vroom,VRM,-52.64%,,,,0.00%,
MEI Pharma,MEIP,176.75%,8994.44%,,,0.72%,-258.39%
Nature's Miracle Holding,NMHI,,,,,0.00%,
KALA BIO,KALA,-16.96%,,,,-45.33%,-32.70%
Hanryu Holdings,HRYU,,,,,0.00%,
Jewett-Cameron Trading,JCTCF,-9.42%,-4.92%,-51.16%,-32.26%,0.00%,
NeuroBo Pharmaceuticals,NRBO,,,,,-38.95%,-48.61%
Vincerx Pharma,VINC,,,,,-30.77%,-22.58%
AIM ImmunoTech,AIM,-33.33%,-75.00%,,,0.00%,
Sensei Biotherapeutics,SNSE,,,,,-10.34%,-14.95%
Aurora Mobile,JG,-29.20%,-52.70%,,,0.00%,
Sunrise New Energy,EPOW,,,,,0.00%,
Synlogic,SYBX,-73.33%,-98.10%,,,-225.00%,-94.76%
Lumos Pharma,LUMO,32.50%,,,,-6.61%,-50.79%
Fusion Fuel Green,HTOO,,,,,0.00%,-45.76%
ClearOne,CLRO,-44.64%,-42.66%,,,0.00%,
Duos Technologies,DUOT,-51.10%,53.91%,,,11.63%,-65.91%
Gulf Resources,GURE,-10.92%,453.27%,,,0.00%,
SPI Energy,SPI,9.20%,,,,0.00%,
A2Z Smart Technologies,AZ,217.93%,,,,0.00%,
Minerva Neurosciences,NERV,,,,,5.83%,90.48%
Orgenesis,ORGS,-98.06%,-94.53%,443.75%,,0.00%,
Rocky Mountain Chocolate Factory,RMCF,49.27%,-22.38%,-550.00%,-485.71%,0.00%,
Connexa Sports Technologies,YYAI,-42.46%,,,,0.00%,
VBI Vaccines,VBIV,105.71%,213.04%,,,-3.77%,-77.24%
Real Good Food,RGF,39.20%,,-149.46%,,0.00%,-100.00%
Aytu BioPharma,AYTU,11.95%,3204.30%,,-100.01%,0.00%,
J-Long Group,JL,,,,,0.00%,
HWH,HWH,,,,,0.00%,
Talphera,TLPH,30.77%,,-104.66%,,42.86%,22.62%
ZK Group,ZKIN,,,,,0.00%,
GlycoMimetics,GLYC,-99.00%,,,,-6.25%,-20.63%
Alaunos Therapeutics,TCRT,-100.00%,,,,0.00%,
Taitron Components,TAIT,-46.59%,-30.70%,-10.00%,28.57%,0.00%,
"Gyrodyne , LLC",GYRO,,,,,0.00%,
Verb Technology,VERB,-100.00%,,,-136.03%,0.00%,
Kintara Therapeutics,KTRA,,,,,0.00%,
Rail Vision,RVSN,,,,,0.00%,
Nocera,NCRA,407.62%,,,,0.00%,
Xcel Brands,XELB,-30.86%,-31.01%,,-1066.67%,43.75%,-120.00%
Mesa Royalty Trust,MTR,71.15%,131.17%,72.00%,230.77%,0.00%,
Talis Biomedical,TLIS,1.75%,,,,0.00%,
Royalty Management Holding,RMCO,,,-140.00%,,0.00%,
Xinyuan Real Estate Co,XIN,-73.17%,,-321.21%,,0.00%,
Dogness (International),DOGZ,,,,,0.00%,
Hall Of Fame Resort & Entertainment,HOFV,127.88%,,,,12.21%,-100.00%
Blue Hat Interactive Entertainment Technology,BHAT,124.52%,,-78.57%,,0.00%,
Urban-gro,UGRO,15.72%,219.32%,,,0.00%,-100.00%
B.O.S Better Online Solutions,BOSC,9.57%,50.20%,266.67%,120.00%,0.00%,
OceanPal,OP,5.71%,,,,0.00%,
Nuvilex,PMCB,,,-104.26%,,0.00%,
Ashford,AINC,52.15%,754.67%,,,0.00%,
Galecto,GLTO,,,,,51.22%,14.47%
Meihua Medical Technologies,MHUA,,,,,0.00%,
Mill City Ventures III,MCVT,-26.61%,2175.00%,-90.91%,-50.00%,0.00%,
Getaround,GETR,17.92%,,,,-60.00%,-40.79%
TOMI Environmental Solutions,TOMZ,89.73%,121.60%,,,-250.00%,-200.00%
Skillful Craftsman Education Technology,EDTK,,,,,0.00%,
Educational Development,EDUC,-35.74%,-31.75%,-900.00%,-340.00%,0.00%,
Astrotech,ASTC,1950.00%,0.00%,,,0.00%,
Future FinTech Group,FTFT,-2.31%,505.36%,,,0.00%,
Sadot Group,SDOT,5371.67%,,,,66.67%,-150.00%
Aptose Biosciences,APTO,,,,,10.98%,-6.04%
La Rosa Holdings,LRHC,,,,,0.00%,
Cardio Diagnostics Holdings,CDIO,,,,,0.00%,-100.00%
Datasea,DTSS,2.86%,,,,0.00%,
ZOOZ Power,ZOOZ,,,,,0.00%,
Enthusiast Gaming Holdings,EGLXF,12.55%,,,,83.33%,-75.00%
Tonix Pharmaceuticals Holding,TNXP,,,,,65.38%,-76.74%
QT Imaging Holdings,QTI,,,,,0.00%,
Snow Lake Resources,LITM,,,,,0.00%,
Millenniums,MGIH,,,,,0.00%,
LiqTech,LIQT,-0.60%,38.61%,,,0.00%,
Worksport,WKSP,-40.00%,-80.00%,,,0.00%,
Singularity Future Technology,SGLY,-7.76%,-85.26%,,,0.00%,
Exela Technologies,XELA,2.31%,-33.49%,,,0.00%,
Dixie,DXYN,-11.58%,-30.47%,,,0.00%,
HeartCore Enterprises,HTCR,91.01%,,,,-123.08%,1400.00%
VirnetX Holding Corp,VHC,-100.00%,-100.00%,,,0.00%,
Focus Universal,FCUV,266.67%,450.00%,,,0.00%,
36Kr Holdings,KRKR,3.32%,,-200.00%,,0.00%,
NeuroSense Therapeutics,NRSN,,,,,0.00%,
Yunji,YJ,-51.83%,,,,0.00%,
Flora Growth,FLGC,333.54%,,,,-27.27%,-200.00%
TruGolf Holdings,TRUG,,,,,0.00%,
Neo-Concepts,NCI,,,,,0.00%,
WISeKey Holding,WKEY,,,,,0.00%,-100.00%
Mannatech,MTEX,-6.83%,-27.80%,-273.53%,,0.00%,
GigaMedia,GIGM,-24.26%,-37.95%,,,0.00%,
Astra Space,ASTR,,,,,0.00%,
Traws Pharma,TRAW,0.00%,-87.76%,,,0.00%,15.28%
Jayud Global Logistics,JYD,,,,,0.00%,
BitFuFu,FUFU,,,,,0.00%,
New Horizon Aircraft,HOVR,,,,,0.00%,
TCTM Kids IT Education,TCTM,-5.27%,,,,0.00%,
VerifyMe,VRME,18.67%,,,,16.67%,4.00%
Microbot Medical,MBOT,,,,,0.00%,-100.00%
XTL Biopharmaceuticals,XTLB,,,,,0.00%,
SAI.TECH Global,SAI,,,,,0.00%,
SeaChange,SEAC,11.93%,-57.52%,,,0.00%,
CERo Therapeutics Holdings,CERO,,,,,0.00%,
Psychemedics,PMD,-14.90%,-48.66%,,-161.90%,0.00%,
Edesa Biotech,EDSA,450.00%,,,,15.94%,-26.11%
Electro-Sensors,ELSE,-16.41%,20.22%,,,0.00%,
Cheetah Net Supply Chain Service,CTNT,,,0.00%,,0.00%,
Senti Biosciences,SNTI,-93.10%,,,,0.00%,-100.00%
S&W Seed,SANW,15.30%,133.16%,,,0.00%,-100.00%
Inno Holdings,INHD,,,,,0.00%,
PAVmed,PAVM,-10.53%,,,,0.00%,-100.00%
Star Equity Holdings,STRR,2.63%,0.94%,,-98.50%,-350.00%,-90.00%
Nano Labs,NA,,,,,0.00%,
Redhill Biopharma,RDHL,-11.37%,18140.00%,,,0.00%,
Ebix,EBIXQ,-4.35%,143.80%,-49.02%,-69.05%,0.00%,
Draganfly,DPRO,-24.19%,,-1300.00%,,66.67%,-33.33%
Akari Therapeutics,AKTX,,,,,0.00%,
Imunon,IMNN,0.00%,0.00%,,,8.77%,-19.62%
IMMURON,IMRN,,,,,0.00%,
Starboxs,STBX,,,,,0.00%,
Check-Cap,CHEK,,,,,0.00%,-100.00%
Pieris Pharmaceuticals,PIRS,-82.35%,-53.25%,,,0.00%,
LuxUrban Hotels,LUXH,212.35%,,-2050.00%,,-666.67%,-283.33%
ICZOOM Group,IZM,,,,,0.00%,
GSE Systems,GVP,-2.82%,-49.84%,,-220.00%,0.00%,
BIMI Holdings,BIMI,,-3.57%,,,0.00%,
Ohmyhome,OMH,,,,,0.00%,-100.00%
Oxbridge Re Holdings,OXBR,38.00%,-4.17%,-200.00%,-120.00%,0.00%,
Advanced Human Imaging,AHI,,,,,0.00%,
Dominari Holdings,DOMH,-61.11%,,,,0.00%,
Expion360,XPON,-21.36%,,,,-10.71%,-19.61%
Alpine 4 Holdings,ALPP,57.99%,,-300.00%,,0.00%,
Euro Tech Holdings,CLWT,,,,,0.00%,
Strata Skin Sciences,SSKN,-9.44%,11.64%,,,0.00%,-51.85%
Medalist Diversified REIT,MDRR,-3.08%,39.23%,,,0.00%,
SRM Entertainment,SRM,,,,,0.00%,
NexGel,NXGL,108.93%,,,,0.00%,
Kiora Pharmaceuticals,KPRX,-11.11%,,,,-38.71%,-381.82%
SHINECO,SISI,-31.68%,-89.17%,,-106.88%,0.00%,
Conifer Holdings,CNFR,0.97%,-1.39%,,,0.00%,
Intelligent Group,INTJ,,,,,0.00%,
Semper Paratus Acquisition,TVGN,,,,,0.00%,
Cyngn,CYN,,,,,0.00%,-100.00%
WeBuy Global,WBUY,,,,,0.00%,-85.71%
Bit Origin,BTOG,,,,,0.00%,
IClick Interactive Asia Group,ICLK,-28.82%,83.08%,,,0.00%,
GlucoTrack,GCTK,-70.00%,,,,0.00%,
Cineverse,CNVS,-25.52%,-28.98%,,-103.62%,0.00%,
MingZhu Logistics Holdings,YGMZ,,,,,0.00%,
Plus Therapeutics,PSTV,-61.22%,,,,0.00%,
Trinity Biotech,TRIB,-5.42%,-37.69%,,-311.11%,0.00%,-52.07%
Foremost Lithium Resource & Technology,FMST,,,,,16.67%,-23.08%
Golden Sun Health Technology Group,GSUN,,,,,0.00%,
Golden Heavens,GDHG,,,,,0.00%,
Elevai Labs,ELAB,,,,,0.00%,
Glen Burnie Bancorp,GLBZ,6.69%,-10.69%,-9.09%,-41.18%,0.00%,
Aesthetic Medical Hldngs Group,PAIYY,-26.92%,,,,0.00%,
SOS,SOS,59.46%,,,,0.00%,
MF,MFI,,,,,0.00%,
GUARDION HEALTH,GHSI,-14.94%,1168.18%,-131.31%,,0.00%,
Rubicon Technologies,RBT,13.32%,,,,0.00%,
Bridgeline Digital,BLIN,-7.13%,26.95%,-275.00%,,66.67%,-25.00%
Nvni Group,NVNI,,,,,0.00%,
MIRA Pharmaceuticals,MIRA,,,,,-20.00%,-35.48%
Avalo Therapeutics,AVTX,-58.97%,-89.29%,,,-406.78%,6.59%
LIZHI INC,SOGP,-14.33%,,200.00%,,0.00%,
Magic Empire Global,MEGL,,,,,0.00%,
Ontrak,OTRK,-24.10%,-9.48%,,,42.11%,-42.50%
FSD PHARMA,HUGE,,,,,0.00%,-45.45%
Foresight Autonomous Holdings American Depositary Shares,FRSX,-25.00%,,,-111.67%,0.00%,
Sidus Space,SIDU,25.56%,,,,0.00%,
IDEANOMICS,IDEX,111.23%,53.97%,,,0.00%,
Inhibikase Therapeutics,IKT,20.00%,,,,7.59%,-21.39%
Austin Gold,AUST,,,,,0.00%,
Sunshine Biopharma,SBFM,3975.00%,,,,0.00%,
Chemomab Therapeutics,CMMB,,,,,-40.00%,0.00%
TDH Holdings,PETZ,,,,,0.00%,
AEterna Zentaris,AEZS,40.13%,787.50%,,,0.00%,
TransCode Therapeutics,RNAZ,,,,,0.00%,-66.16%
EzFill Holdings,EZFL,63.47%,,,,0.00%,
Chanson Holding,CHSN,,,,,0.00%,
Galera Therapeutics,GRTX,,,,,0.00%,
Cosmos Health,COSM,-25.53%,17.68%,,,0.00%,-100.00%
Air Industries Group,AIRI,-7.46%,-2.99%,,,-75.00%,-52.31%
Vislink Technologies,VISL,-25.55%,-46.50%,,,0.00%,
Upexi,UPXI,446.73%,,,,0.00%,
Uxin,UXIN,-37.52%,,,,0.00%,
Moatable,MTBLY,-88.99%,,,,0.00%,
Beneficient,BENF,,,,,0.00%,
Presidio Property Trust,SQFT,5.09%,-44.36%,,,0.00%,
Erayak Power Solution Group,RAYA,,,,,0.00%,7.14%
Adamas One,JEWL,,,,,0.00%,
Presto Automation,PRST,-12.22%,,,,0.00%,
Heliogen,HLGN,40.91%,,,,0.00%,
SIMPPLE,SPPL,,,,,0.00%,
Brera Holdings,BREA,,,,,0.00%,
AmpliTech,AMPG,-19.41%,,,,0.00%,
CareMax,CMAX,30.28%,,,,-25.89%,-40.95%
Moleculin Biotech,MBRX,,,,,43.73%,-39.93%
Iveda Solutions,IVDA,860.87%,,,,0.00%,
DermTech,DMTK,-5.91%,,,,0.00%,-1.33%
Janover,JNVR,,,,,0.00%,
MGO Global,MGOL,230.00%,,,,0.00%,
XTI Aerospace,XTIA,16.98%,264.71%,,,0.00%,
Cue Health,HLTH,-86.19%,,-3200.00%,,28.89%,-65.49%
Vaccinex,VCNX,155.56%,,,,0.00%,
Monopar Therapeutics,MNPR,,,,,41.18%,-5.41%
Luokung Technology,LKCO,,,,,0.00%,
Shiftpixy,PIXY,-58.61%,-57.46%,,,0.00%,
Universe Pharmaceuticals INC,UPC,,,,,0.00%,
PetVivo Holdings,PETV,116.67%,,,,0.00%,
EpicQuest Education Group,EEIQ,,,,,0.00%,-100.00%
Eterna Therapeutics,ERNA,-16.15%,,,,0.00%,
Ault Alliance,AULT,,1445.96%,,,0.00%,
Mobiquity Technologies,MOBQ,-9.09%,,,-102.00%,0.00%,
Maris-Tech,MTEK,,,,,0.00%,
Global Gas,HGAS,,,-225.00%,,0.00%,
Biotricity,BTCY,27.44%,,,,17.07%,-72.26%
Pintec Technology Holdings,PT,,,,,0.00%,
Momentus,MNTS,-40.00%,,-110.92%,,0.00%,
Coeptis Therapeutics Holdings,COEP,,,,,0.00%,-100.00%
UpHealth,UPHL,-14.43%,,-529.62%,,-22.73%,153.33%
Next Technology Holding,NXTT,-78.06%,,,,0.00%,
Vaxxinity,VAXX,,,,,30.77%,
Organovo Holdings,ONVO,-79.49%,,,,2.44%,-18.97%
Mangoceuticals,MGRX,,,,,0.00%,
Biomerica,BMRA,-79.06%,-1.77%,,,0.00%,
Regis,RGS,-15.67%,-81.45%,,-228.13%,0.00%,
FGI Industries,FGI,-38.95%,,-90.00%,,-100.00%,-100.00%
F45 Training Holdings,FXLV,181.51%,,,,0.00%,
Chicken Soup For The Soul Entertainment,CSSE,275.21%,1802.78%,,,0.00%,
Carver Bancorp,CARV,19.36%,-50.18%,-244.00%,-130.77%,0.00%,
Ryvyl,RVYL,113.06%,13400.00%,-182.14%,,0.00%,-100.00%
Lendway,LDWY,-35.64%,-43.48%,2933.33%,1200.00%,0.00%,
Blackboxstocks,BLBX,-47.14%,,,,0.00%,
NuCana,NCNA,,,,,95.17%,25.99%
SemiLEDS,LEDS,-5.62%,-16.00%,,,0.00%,
ICoreConnect,ICCT,,,,,0.00%,
Soluna Holdings,SLNH,-76.15%,2.48%,,-950.00%,0.00%,
Zoomcar Holdings,ZCAR,,,,,0.00%,
BurgerFi,BFI,1.78%,,,,0.00%,
Amesite,AMST,-25.00%,,,,0.00%,
Socket Mobile,SCKT,-15.37%,22.20%,-700.00%,,0.00%,
Highway Holdings,HIHO,-43.52%,-59.33%,,-242.11%,0.00%,
Minim,MINM,-19.17%,28.90%,,-532.00%,0.00%,
TRxADE HEALTH,MEDS,-30.56%,164.71%,,,0.00%,
WiSA Technologies,WISA,-17.54%,67.86%,,,0.00%,
Energous,WATT,-47.83%,-42.86%,,,11.70%,-4.01%
ATIF Holdings,ATIF,-61.54%,,-250.00%,,0.00%,
Avalon Holdings,AWX,20.70%,57.15%,20.00%,114.29%,0.00%,
Addex Therapeutics,ADXN,107.69%,,,,0.00%,-100.00%
Syra Health,SYRA,,,,,0.00%,-100.00%
Shuttle Pharmaceuticals Holdings,SHPH,,,,,0.00%,
CISO Global,CISO,47.16%,,,,0.00%,-100.00%
Safe And Green Development,SGD,,,,,0.00%,
Digital Ally/NV,DGLY,-25.17%,211.74%,,,0.00%,
Art's-Way Manufacturing,ARTW,23.76%,70.32%,50.00%,,0.00%,
